seed,lambda,cap,ok,moves,trigger_overlap,time_s
2007,1.0,2,True,19,0.4211,0.895
2007,1.0,4,True,17,0.4706,0.103
2007,1.0,none,True,17,0.4706,0.096
2008,1.0,1,True,25,0.16,0.987
2008,1.0,2,True,25,0.16,1.089
2008,1.0,4,True,25,0.16,1.369
2008,1.0,none,True,25,0.16,1.286
2009,1.0,1,True,26,0.2692,0.665
2009,1.0,2,True,27,0.2222,1.079
2009,1.0,4,True,27,0.2222,1.695
2009,1.0,none,True,27,0.2222,1.689
2010,1.0,1,True,25,0.0,3.255
2010,1.0,2,True,23,0.4348,2.672
2010,1.0,4,True,24,0.2917,2.012
2010,1.0,none,True,24,0.2917,1.876
2011,1.0,1,True,30,0.2333,2.148
2011,1.0,2,True,21,0.1429,3.31
2011,1.0,4,True,21,0.1429,1.578
2011,1.0,none,True,21,0.1429,1.541
2012,1.0,1,True,24,0.1667,0.96
2012,1.0,2,True,22,0.1364,0.841
2012,1.0,4,True,22,0.1364,1.144
2012,1.0,none,True,22,0.1364,1.144
2013,1.0,1,True,28,0.0,2.629
2013,1.0,2,True,30,0.1,3.413
2013,1.0,4,True,30,0.1,1.851
2013,1.0,none,True,30,0.1,1.855
2014,1.0,1,True,28,0.1071,4.395
2014,1.0,2,True,28,0.1071,4.811
2014,1.0,4,True,28,0.1071,9.512
2014,1.0,none,True,28,0.1071,8.791
2015,1.0,1,True,27,0.2222,1.441
2015,1.0,2,True,27,0.2222,1.446
2015,1.0,4,True,28,0.1429,0.776
2015,1.0,none,True,28,0.1429,0.767
2016,1.0,1,True,28,0.0,1.626
2016,1.0,2,True,28,0.0,1.868
2016,1.0,4,True,28,0.0,2.522
2016,1.0,none,True,28,0.0,2.484
2017,1.0,1,True,22,0.1364,0.619
2017,1.0,2,True,23,0.3913,0.67
2017,1.0,4,True,25,0.28,1.794
2017,1.0,none,True,25,0.28,1.836
2018,1.0,1,True,29,0.1034,2.596
2018,1.0,2,True,29,0.1034,1.207
2018,1.0,4,True,31,0.3226,0.701
2018,1.0,none,True,31,0.3226,0.686
2019,1.0,1,True,28,0.25,0.311
2019,1.0,2,True,28,0.25,0.165
2019,1.0,4,True,28,0.25,0.162
2019,1.0,none,True,28,0.25,0.154
2020,1.0,1,True,29,0.1034,2.893
2020,1.0,2,True,29,0.1034,1.633
2020,1.0,4,True,21,0.1429,0.339
2020,1.0,none,True,21,0.1429,0.317
2021,1.0,1,True,26,0.2692,13.082
2021,1.0,2,True,26,0.2692,13.018
2021,1.0,4,True,29,0.3793,0.994
2021,1.0,none,True,29,0.3793,0.98
2022,1.0,1,True,28,0.0,1.075
2022,1.0,2,True,29,0.1034,1.231
2022,1.0,4,True,29,0.1034,1.931
2022,1.0,none,True,29,0.1034,1.862
2023,1.0,1,True,25,0.12,1.517
2023,1.0,2,True,32,0.2188,16.963
2023,1.0,4,True,32,0.1875,17.024
2023,1.0,none,True,32,0.1875,17.333
2024,1.0,1,True,28,0.1429,0.872
2024,1.0,2,True,28,0.1429,0.994
2024,1.0,4,True,31,0.1935,2.885
2024,1.0,none,True,31,0.1935,2.819
2025,1.0,1,True,24,0.125,0.131
2025,1.0,2,True,28,0.2143,16.249
2025,1.0,4,True,28,0.3571,0.096
2025,1.0,none,True,28,0.3571,0.089
2026,1.0,1,True,31,0.129,1.484
2026,1.0,2,True,22,0.1364,0.22
2026,1.0,4,True,22,0.1364,0.424
2026,1.0,none,True,22,0.1364,0.421
2027,1.0,1,False,,,27.089
2027,1.0,2,True,29,0.2414,9.932
2027,1.0,4,True,28,0.1429,8.097
2027,1.0,none,True,28,0.3214,7.326
2028,1.0,1,True,20,0.0,0.664
2028,1.0,2,True,24,0.125,0.195
2028,1.0,4,True,24,0.125,0.203
2028,1.0,none,True,24,0.125,0.229
2029,1.0,1,True,19,0.0,0.403
2029,1.0,2,True,31,0.1935,2.525
2029,1.0,4,True,30,0.3,2.737
2029,1.0,none,True,30,0.3,2.644
2030,1.0,1,True,29,0.0,4.808
2030,1.0,2,True,29,0.0,6.489
2030,1.0,4,True,32,0.3125,8.656
2030,1.0,none,True,32,0.3125,8.447
2031,1.0,1,True,28,0.2143,0.872
2031,1.0,2,True,29,0.3448,0.422
2031,1.0,4,True,31,0.1935,2.051
2031,1.0,none,True,31,0.1935,2.104
2032,1.0,1,True,22,0.0,0.631
2032,1.0,2,True,23,0.3478,0.724
2032,1.0,4,True,23,0.3478,1.407
2032,1.0,none,True,23,0.3478,1.424
